Event Name,Correlation,Strength,Confidence,Increase,Occurs
Viewed Twitter Searches,0.139,negligible,1.0,0.3429,Day 5
Converted,1.0,very strong,0.0,1.0,Day 17
Add New Custom Field,0.1135,negligible,1.0,0.3174,Day 5
Add New Filter,0.2314,weak,1.0,0.4428,Day 6
Add New Label,0.2132,weak,1.0,0.5367,Day 6
Add New Macro,0.2417,weak,1.0,0.5468,Day 7
Add New Rule,0.2525,weak,1.0,0.4407,Day 6
Added credit card,0.4601,strong,1.0,0.9844,Day 14
Added New Facebook Page,0.2629,weak,1.0,0.3421,Day 3
Added New Inbound Mailbox,0.4046,strong,1.0,0.366,Day 3
Added New Outbound Mailbox,0.2349,weak,1.0,0.3596,Day 3
Added New Twitter Account,0.2721,weak,1.0,0.3473,Day 3
Added User,0.3955,moderate,1.0,0.3802,Day 4
Admin Disable Multi-Brand,NaN,negligible,NaN,NaN,Day 1
Admin Enable Multi-Brand,NaN,negligible,NaN,NaN,Day 1
Agent Reply Via Email,0.0484,negligible,1.0,0.625,Day 13
Agent Reply Via Forward Email,0.0421,negligible,1.0,0.75,Day 5
Agent Toggled Case Routing,0.1117,negligible,1.0,0.5424,Day 6
Agent Tour Failed,0.0307,negligible,0.9996,0.3333,Day 6
App Action index,0.1746,negligible,1.0,0.4357,Day 5
App Credentials edit,0.1495,negligible,1.0,0.5169,Day 6
App Credentials new,0.1708,negligible,1.0,0.3639,Day 4
App Marketplace detail,0.2031,weak,1.0,0.3149,Day 4
App Marketplace index,0.3421,moderate,1.0,0.2478,Day 3
App Server send,0.123,negligible,1.0,0.4792,Day 6
Brand Added,NaN,negligible,NaN,NaN,Day 1
Brand Logo Created,NaN,negligible,NaN,NaN,Day 1
Brand Removed,NaN,negligible,NaN,NaN,Day 1
Bulk Editor Manual Reply,0.1004,negligible,1.0,0.4286,Day 6
Bulk Editor Opened,0.3782,moderate,1.0,0.2932,Day 4
Cancelled account,-0.0399,negligible,1.0,0.0123,Day 4
Clicked link within tour,0.1033,negligible,1.0,0.1898,Day 1
Completed Agent Tour,0.1109,negligible,1.0,0.1247,Day 1
Confirmed Internal Demo - Plus2013 Bill Plan Subscription,NaN,negligible,NaN,NaN,Day 1
Confirmed Plus Bill Plan Subscription,0.5432,strong,1.0,0.9971,Day 18
Confirmed Starter Bill Plan Subscription,0.3429,moderate,1.0,0.9217,Day 17
Ended Agent Tour,0.0536,negligible,1.0,0.202,Day 2
inlineMacro,0.1084,negligible,1.0,0.5077,Day 4
Mobile Login,0.1737,negligible,1.0,0.3661,Day 6
Moved to next step,0.1362,negligible,1.0,0.1117,Day 1
Registered,0.0453,negligible,1.0,0.0898,Day 1
Removed User,0.3135,moderate,1.0,0.6727,Day 11
Resolved Case,0.386,moderate,1.0,0.3171,Day 4
Resolved Case via Action,0.1222,negligible,1.0,0.4537,Day 5
Resolved Case via Bulk,0.3883,moderate,1.0,0.4351,Day 5
Responded to Case,0.3433,moderate,1.0,0.2921,Day 4
Responded to Case via Bulk,0.3078,moderate,1.0,0.4574,Day 6
Skipped Agent Tour,0.0553,negligible,1.0,0.25,Day 1
Started Agent Tour,0.1299,negligible,1.0,0.1096,Day 1
Started Agent Tour via Menu,0.1507,negligible,1.0,0.2806,Day 4
ticketFooterMacro,0.2456,weak,1.0,0.329,Day 4
Updated User,0.4302,strong,1.0,0.4322,Day 5
Viewed Admin Dashboard,0.3052,moderate,1.0,0.1718,Day 3
Viewed Agent Desktop,0.1418,negligible,1.0,0.1027,Day 2
Viewed Articles,0.2806,weak,1.0,0.2647,Day 5
Viewed Bill Plan Upgrade Page,0.3748,moderate,1.0,0.4037,Day 8
Viewed Billing Page,0.0958,negligible,1.0,0.6667,Day 31
Viewed Business Insights,0.2312,weak,1.0,0.2104,Day 3
Viewed Case Custom Fields,0.2852,weak,1.0,0.368,Day 6
Viewed Case Filters,0.2753,weak,1.0,0.255,Day 4
Viewed Case Forward Templates,0.1981,negligible,1.0,0.4113,Day 6
Viewed Case Integration URLs,0.2304,weak,1.0,0.3609,Day 6
Viewed Case Labels,0.2752,weak,1.0,0.3547,Day 5
Viewed Case Macros,0.2926,weak,1.0,0.3884,Day 5
Viewed Case Notifications,0.2518,weak,1.0,0.3846,Day 6
Viewed Case Rule,0.3013,moderate,1.0,0.3582,Day 5
Viewed Case Themes,0.1917,negligible,1.0,0.388,Day 6
Viewed CC Edit Page,0.6263,strong,1.0,0.9251,Day 17
Viewed Chat Transcript Themes,0.1449,negligible,1.0,0.3294,Day 5
Viewed Chat Widgets,0.266,weak,1.0,0.3114,Day 5
Viewed Company Blacklisted Domains,0.1018,negligible,1.0,0.3469,Day 6
Viewed Company Custom Fields,0.2296,weak,1.0,0.3511,Day 5
Viewed Company Themes,0.1164,negligible,1.0,0.3246,Day 5
Viewed Customer Custom Fields,0.2481,weak,1.0,0.3448,Day 5
Viewed Customer Themes,0.166,negligible,1.0,0.3715,Day 6
Viewed Email Auto-Acknowledgements,0.2546,weak,1.0,0.3618,Day 5
Viewed Email Mailboxes,0.273,weak,1.0,0.2635,Day 4
Viewed Email Reply Themes,0.2529,weak,1.0,0.3377,Day 5
Viewed Email Widgets,0.2379,weak,1.0,0.3075,Day 5
Viewed Facebook Pages,0.2518,weak,1.0,0.3232,Day 5
Viewed Filter,0.2608,weak,1.0,0.3904,Day 6
Viewed Internal Demo - Plus2013 Bill Plan,NaN,negligible,NaN,NaN,Day 1
Viewed Internal Demo - Plus2013 Bill Plan Confirmation Page,NaN,negligible,NaN,NaN,Day 1
Viewed Plus Bill Plan,0.4971,strong,1.0,0.8074,Day 15
Viewed Plus Bill Plan Confirmation Page,0.5432,strong,1.0,0.9971,Day 18
Viewed Professional2011 - 14 Day Bill Plan,NaN,negligible,NaN,NaN,Day 1
Viewed Questions,0.2518,weak,1.0,0.3466,Day 5
Viewed Snippets,0.2591,weak,1.0,0.3808,Day 5
